pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
Forthcoming	Rule of Law Thinking in Justice Russell Brown’s Private and Public Law	Supreme Court Law Review		"Katz L. (2025) Rule of Law Thinking in Justice Russell Brown’s Private and Public Law, Supreme Court Law Review (with Preston Lim)"			
Forthcoming	Acting at Your Own Peril: Doing Wrong without Violating Rights	Law and Philosophy		"Katz L. (2025) Acting at Your Own Peril: Doing Wrong without Violating Rights, Law and Philosophy (forthcoming Symposium on Nicolas Cornell: Wrongs and Rights Come Apart)"			
Forthcoming	"Having, Owing, Doing"	Property Contract Interface		"Katz L. (2025) Having, Owing, Doing in Henry Smith and James Penner, eds., Property Contract Interface (forthcoming)"			
2024	Mapmaking and Legitimacy	Stephen A. Smith Private Law Theory		"Katz L. (2024) ‘Mapmaking and Legitimacy’ in Lionel Smith, ed., Stephen A. Smith Private Law Theory (OUP)"			
2023	Rights Without Standing	Private Law Methodology		"Katz L. (2023) ‘Rights Without Standing’ in Paul Miller & John Oberdiek, eds., Private Law Methodology (OUP)"			
2023	Property: Authority without Office?	Journal of Law and Political Economy		"Katz L. (2023) (with Rutger Claassen), ‘Property: Authority without Office?’ Journal of Law and Political Economy"			
Work in progress	People (Offices) and Things: Property in the Legal Order	Oxford University Press		People (Offices) and Things: Property in the Legal Order (under contract with Oxford University Press)			
Work in progress	Equity: The Guardian of the Legal Order			Equity: The Guardian of the Legal Order (in progress)			
Work in progress	Advanced Introduction to Property Law and Theory	Elgar		Advanced Introduction to Property Law and Theory (under contract with Elgar)			
2022	Property’s Limits	Jurisprudence		Katz L. (2022) ‘Property’s Limits’ 13 Jurisprudence 636			
2021	The Role of Plaintiffs in Private Law Institutions	Private Law and Practical Reason		"Katz, L. (2021) (with Matthew Shapiro), “The Role of Plaintiffs in Private Law Institutions” in Sandy Steel, ed., Private Law and Practical Reason: Essays on John Gardner’s Private Law Theory (OUP)"			
2020	The Wrong of Derogation	Oxford Studies in Private Law		"Katz, L. (2020) ‘The Wrong of Derogation’ in J. Oberdiek & P. Miller, eds., The Oxford Studies in Private Law (OUP)"			
2020	Equitable Remedies and “What We Have Coming to Us”	Notre Dame Law Review		"Katz, L (2020) ‘Equitable Remedies and “What We Have Coming to Us”,’ 96 Notre Dame Law Review 1115"			
2020	It’s Not Personal: Social Obligations in the Office of Ownership	Cornell Journal of Law & Public Policy		"Katz, L (2020) ‘It’s Not Personal: Social Obligations in the Office of Ownership,’ 29 Cornell J. of L. & Pub. Pol. 101"			
2020	Ownership and Office: The Building Blocks of a Legal Order	University of Toronto Law Journal		"Katz, L (2020) ‘Ownership and Office: The Building Blocks of a Legal Order,’ 70 University of Toronto Law Journal 267"			
2020	Introduction to the Idea of Office in Law and Jurisprudence	University of Toronto Law Journal		"Katz, L (with Nicole Roughan), (2020) ‘Introduction to the Idea of Office in Law and Jurisprudence,’ 70 University of Toronto Law Journal 163"			
2020	Conscience with a Filter	Jerusalem Review of Legal Studies		"Katz, L (2020) ‘Conscience with a Filter,’ 21 Jerusalem Review of Legal Studies  22."			
